Job;"1";;;;"b4cast ver. 807 (b4cast.com)";;;;"TECOMAT ENGENHARIA LTDA"
Case-name;;;;;"Calculated 10/02/2026 16:22";;;;"Rua Serra da Canastra, 391"
Subject;;;;;"Printed 15/02/2026 20:53";;;;"CEP 50610-000 Recife/PE-Brazil"
View-name;"work"
View-text;""

;;;;;;;;;"(Excel English version: ALT+h+o+i expands selected cells)"
Result Type;"Temperature (T)"

Time;"T-Max.primeira";"T-Max.segunda";"T-Max.terceira";"T-Max.quarta";
"[hours]";"[°C]";"[°C]";"[°C]";"[°C]";
0,0000000;35,0000000;#N/A;#N/A;#N/A;
0,0416667;37,4901466;#N/A;#N/A;#N/A;
0,0833333;37,6261749;#N/A;#N/A;#N/A;
0,1250000;37,5440865;#N/A;#N/A;#N/A;
0,1666667;37,5333443;#N/A;#N/A;#N/A;
0,2083333;37,4628067;#N/A;#N/A;#N/A;
0,2500000;37,4255371;#N/A;#N/A;#N/A;
0,2916667;37,3612289;#N/A;#N/A;#N/A;
0,3333333;37,3143044;#N/A;#N/A;#N/A;
0,3750000;37,2536926;#N/A;#N/A;#N/A;
0,4166667;37,2029686;#N/A;#N/A;#N/A;
0,4583333;37,1501656;#N/A;#N/A;#N/A;
0,5000000;37,1328506;#N/A;#N/A;#N/A;
1,0000000;36,8967514;#N/A;#N/A;#N/A;
1,5000000;36,7091789;#N/A;#N/A;#N/A;
2,0000000;36,5337029;#N/A;#N/A;#N/A;
2,5000000;36,3781090;#N/A;#N/A;#N/A;
3,0000000;38,8943825;#N/A;#N/A;#N/A;
3,5000000;40,7887917;#N/A;#N/A;#N/A;
4,0000000;44,5726280;#N/A;#N/A;#N/A;
4,5000000;48,6188316;#N/A;#N/A;#N/A;
5,0000000;53,2200584;#N/A;#N/A;#N/A;
5,5000000;57,0707970;#N/A;#N/A;#N/A;
6,0000000;58,5783424;#N/A;#N/A;#N/A;
6,5000000;59,9522705;#N/A;#N/A;#N/A;
7,0000000;61,6100349;#N/A;#N/A;#N/A;
7,5000000;63,2350082;#N/A;#N/A;#N/A;
8,0000000;62,2082100;#N/A;#N/A;#N/A;
8,5000000;61,8850288;#N/A;#N/A;#N/A;
9,0000000;64,1907272;#N/A;#N/A;#N/A;
9,5000000;64,0200424;#N/A;#N/A;#N/A;
10,0000000;63,7717133;#N/A;#N/A;#N/A;
10,5000000;63,5586929;#N/A;#N/A;#N/A;
11,0000000;63,1046028;#N/A;#N/A;#N/A;
11,5000000;62,6214104;#N/A;#N/A;#N/A;
12,0000000;62,4858856;#N/A;#N/A;#N/A;
12,5000000;62,4164429;#N/A;#N/A;#N/A;
13,0000000;62,2736740;#N/A;#N/A;#N/A;
13,5000000;62,1361809;#N/A;#N/A;#N/A;
14,0000000;61,9633560;#N/A;#N/A;#N/A;
14,5000000;61,8164558;#N/A;#N/A;#N/A;
15,0000000;61,6463928;#N/A;#N/A;#N/A;
15,5000000;61,4635010;#N/A;#N/A;#N/A;
16,0000000;61,2553215;#N/A;#N/A;#N/A;
16,5000000;61,0716705;#N/A;#N/A;#N/A;
17,0000000;60,8264389;#N/A;#N/A;#N/A;
17,5000000;60,5709877;#N/A;#N/A;#N/A;
18,0000000;60,3165894;#N/A;#N/A;#N/A;
18,5000000;60,1020966;#N/A;#N/A;#N/A;
19,0000000;59,8820457;#N/A;#N/A;#N/A;
19,5000000;59,6677361;#N/A;#N/A;#N/A;
20,0000000;59,4349403;#N/A;#N/A;#N/A;
20,5000000;59,2012520;#N/A;#N/A;#N/A;
21,0000000;58,9592133;#N/A;#N/A;#N/A;
21,5000000;58,7231369;#N/A;#N/A;#N/A;
22,0000000;58,4814415;#N/A;#N/A;#N/A;
22,5000000;58,2469025;#N/A;#N/A;#N/A;
23,0000000;58,0098419;#N/A;#N/A;#N/A;
23,5000000;57,7858238;#N/A;#N/A;#N/A;
24,0000000;57,5575294;#N/A;#N/A;#N/A;
24,5000000;57,3352013;#N/A;#N/A;#N/A;
25,0000000;57,1095657;#N/A;#N/A;#N/A;
25,5000000;56,8902550;#N/A;#N/A;#N/A;
26,0000000;56,6683693;#N/A;#N/A;#N/A;
26,5000000;56,4528122;#N/A;#N/A;#N/A;
27,0000000;56,2015228;#N/A;#N/A;#N/A;
27,5000000;55,9629478;#N/A;#N/A;#N/A;
28,0000000;55,7286224;#N/A;#N/A;#N/A;
28,5000000;55,5038948;#N/A;#N/A;#N/A;
29,0000000;55,2806053;#N/A;#N/A;#N/A;
29,5000000;55,0774498;#N/A;#N/A;#N/A;
30,0000000;54,8837280;#N/A;#N/A;#N/A;
30,5000000;54,6945305;#N/A;#N/A;#N/A;
31,0000000;54,5035706;#N/A;#N/A;#N/A;
31,5000000;54,3168373;#N/A;#N/A;#N/A;
32,0000000;54,1284676;#N/A;#N/A;#N/A;
32,5000000;53,9405365;#N/A;#N/A;#N/A;
33,0000000;53,7436256;#N/A;#N/A;#N/A;
33,5000000;53,5483284;#N/A;#N/A;#N/A;
34,0000000;53,3505821;#N/A;#N/A;#N/A;
34,5000000;53,1557961;#N/A;#N/A;#N/A;
35,0000000;52,9597816;#N/A;#N/A;#N/A;
35,5000000;52,7673759;#N/A;#N/A;#N/A;
36,0000000;52,5744514;#N/A;#N/A;#N/A;
36,5000000;52,3853951;#N/A;#N/A;#N/A;
37,0000000;52,1962357;#N/A;#N/A;#N/A;
37,5000000;52,0109978;#N/A;#N/A;#N/A;
38,0000000;51,8259087;#N/A;#N/A;#N/A;
38,5000000;51,5820503;#N/A;#N/A;#N/A;
39,0000000;51,3682251;#N/A;#N/A;#N/A;
39,5000000;51,2036209;#N/A;#N/A;#N/A;
40,0000000;51,0133018;#N/A;#N/A;#N/A;
40,5000000;50,8224983;#N/A;#N/A;#N/A;
41,0000000;50,6369209;#N/A;#N/A;#N/A;
41,5000000;50,4510994;#N/A;#N/A;#N/A;
42,0000000;50,2701797;#N/A;#N/A;#N/A;
42,5000000;50,0890427;#N/A;#N/A;#N/A;
43,0000000;49,8811646;#N/A;#N/A;#N/A;
43,5000000;49,7085037;#N/A;#N/A;#N/A;
44,0000000;49,5408134;#N/A;#N/A;#N/A;
44,5000000;49,4000015;#N/A;#N/A;#N/A;
45,0000000;49,2597694;#N/A;#N/A;#N/A;
45,5000000;49,1203728;#N/A;#N/A;#N/A;
46,0000000;48,9793510;#N/A;#N/A;#N/A;
46,5000000;48,8393097;#N/A;#N/A;#N/A;
47,0000000;48,6979790;#N/A;#N/A;#N/A;
47,5000000;48,5577774;#N/A;#N/A;#N/A;
48,0000000;48,4037590;#N/A;#N/A;#N/A;
48,5000000;48,2397118;#N/A;#N/A;#N/A;
49,0000000;48,0706787;#N/A;#N/A;#N/A;
49,5000000;47,9005890;#N/A;#N/A;#N/A;
50,0000000;47,7287178;#N/A;#N/A;#N/A;
50,5000000;47,5579529;#N/A;#N/A;#N/A;
51,0000000;47,3871231;#N/A;#N/A;#N/A;
51,5000000;47,2185211;#N/A;#N/A;#N/A;
52,0000000;47,0507469;#N/A;#N/A;#N/A;
52,5000000;46,8857307;#N/A;#N/A;#N/A;
